CourseRegistrationId,Student.Nuid,Student.FirstName,Student.LastName,Student.UniversityEmail,Course.CourseId,Course.CourseName,Course.Instructor.InstructorId,Course.Instructor.FirstName,Course.Instructor.LastName,Course.Instructor.UniversityEmail
56900,893727356,Kiel,Griffith,griffith.k@northeastern.edu,5331,Discrete Structures,1069,Brietta,Drinkwater,drinkwater.b@northeastern.edu
83723,343054589,Porter,Blazewski,blazewski.p@northeastern.edu,6034,Information Retrieval,1374,Gretel,Chaperlin,chaperlin.g@northeastern.edu
97974,361066653,Codie,Fishlock,fishlock.c@northeastern.edu,5700,Object-Oriented Design,1775,Germain,Bulle,bulle.g@northeastern.edu
93181,771787259,Frannie,Souza,souza.f@northeastern.edu,5869,Special Topics in Artificial Intelligence,1110,Berne,Castenda,castenda.b@northeastern.edu
58754,665787951,Sigismundo,Carlesso,carlesso.s@northeastern.edu,6812,Computer Systems,1110,Shaun,Risson,risson.s@northeastern.edu
98305,360015747,Layton,Bridewell,bridewell.l@northeastern.edu,5700,Object-Oriented Design,1775,Germain,Bulle,bulle.g@northeastern.edu
45038,974085082,Merridie,Chambers,chambers.m@northeastern.edu,5613,Machine Learning,1408,Mickey,Mangam,mangam.m@northeastern.edu
79512,204424037,Sarah,Whightman,whightman.s@northeastern.edu,5419,Computer/Human Interaction,1110,Berne,Castenda,castenda.b@northeastern.edu
56245,179527823,Ruy,Upsale,upsale.r@northeastern.edu,5837,Machine Learning,1069,Brietta,Drinkwater,drinkwater.b@northeastern.edu
34009,911637662,Elbert,Wincer,wincer.e@northeastern.edu,5081,Empirical Research Methods,1687,Rees,Peasee,peasee.r@northeastern.edu
91176,846711240,Gustaf,Kamenar,kamenar.g@northeastern.edu,5700,Object-Oriented Design,1775,Germain,Bulle,bulle.g@northeastern.edu
31188,974085082,Merridie,Chambers,chambers.m@northeastern.edu,5081,Empirical Research Methods,1687,Rees,Peasee,peasee.r@northeastern.edu
68519,835786781,Luther,Lillicrap,lillicrap.l@northeastern.edu,6876,Intensive Foundations of Computer Science,1837,Charissa,Higginbottam,higginbottam.c@northeastern.edu
76471,361066653,Codie,Fishlock,fishlock.c@northeastern.edu,5759,Computer Systems,1229,Immanuel,McGreay,mcgreay.i@northeastern.edu
31320,854471107,Rafael,Pockey,pockey.r@northeastern.edu,5331,Discrete Structures,1069,Brietta,Drinkwater,drinkwater.b@northeastern.edu
22631,343054589,Porter,Blazewski,blazewski.p@northeastern.edu,5597,Foundations of Software Engineering,1542,Berty,Colbridge,colbridge.b@northeastern.edu
55925,248149303,Elysha,Roderham,roderham.e@northeastern.edu,6987,Algorithms,1444,Dulcea,Timmens,timmens.d@northeastern.edu
91231,702998899,Dee,Giacobini,giacobini.d@northeastern.edu,6376,Robotic Science and Systems,1193,Karalynn,Vagg,vagg.k@northeastern.edu
23446,204424037,Sarah,Whightman,whightman.s@northeastern.edu,6703,Discrete Structures,1093,Jeramey,Demangel,demangel.j@northeastern.edu
37274,987704889,Errol,Pattrick,pattrick.e@northeastern.edu,6876,Intensive Foundations of Computer Science,1837,Charissa,Higginbottam,higginbottam.c@northeastern.edu
52174,893727356,Kiel,Griffith,griffith.k@northeastern.edu,6796,Object-Oriented Design,1775,Germain,Bulle,bulle.g@northeastern.edu
26355,901698851,Quintus,Greenan,greenan.q@northeastern.edu,6130,Natural Language Processing,1542,Berty,Colbridge,colbridge.b@northeastern.edu
47431,702998899,Dee,Giacobini,giacobini.d@northeastern.edu,5851,Discrete Structures,1110,Berne,Castenda,castenda.b@northeastern.edu
58776,632952605,Gillan,Bastow,bastow.g@northeastern.edu,5809,Robotic Science and Systems,1624,Olivette,Shankland,shankland.o@northeastern.edu
41672,702998899,Dee,Giacobini,giacobini.d@northeastern.edu,6282,Database Management Systems,1383,Mora,Daye,daye.m@northeastern.edu
89657,612572959,Maurene,Trevallion,trevallion.m@northeastern.edu,6602,Computer/Human Interaction,1477,Margie,Bett,bett.m@northeastern.edu
26431,105610890,Augie,Josling,josling.a@northeastern.edu,6934,Foundations of Artificial Intelligence,1651,Eugenie,Santorini,santorini.e@northeastern.edu
27592,357708516,Bard,Delagnes,delagnes.b@northeastern.edu,6796,Object-Oriented Design,1775,Germain,Bulle,bulle.g@northeastern.edu
24146,911637662,Elbert,Wincer,wincer.e@northeastern.edu,5538,Discrete Structures,1694,Christabella,Murrie,murrie.c@northeastern.edu
32064,297121047,Roshelle,Simkins,simkins.r@northeastern.edu,5597,Foundations of Software Engineering,1542,Berty,Colbridge,colbridge.b@northeastern.edu
10080,589241878,Cozmo,Bennett,bennett.c@northeastern.edu,6796,Object-Oriented Design,1775,Germain,Bulle,bulle.g@northeastern.edu
71015,353081570,Winnie,Petrou,petrou.w@northeastern.edu,6376,Robotic Science and Systems,1193,Karalynn,Vagg,vagg.k@northeastern.edu
17828,268796149,Felix,Pocklington,pocklington.f@northeastern.edu,6934,Foundations of Artificial Intelligence,1651,Eugenie,Santorini,santorini.e@northeastern.edu
50205,632952605,Gillan,Bastow,bastow.g@northeastern.edu,6062,Information Retrieval,1694,Christabella,Murrie,murrie.c@northeastern.edu
28526,854471107,Rafael,Pockey,pockey.r@northeastern.edu,6376,Robotic Science and Systems,1193,Karalynn,Vagg,vagg.k@northeastern.edu
22490,974085082,Merridie,Chambers,chambers.m@northeastern.edu,5848,Foundations of Artificial Intelligence,1383,Mora,Daye,daye.m@northeastern.edu
55849,665787951,Sigismundo,Carlesso,carlesso.s@northeastern.edu,5945,Intensive Foundations of Computer Science,1110,Shaun,Risson,risson.s@northeastern.edu
63244,204424037,Sarah,Whightman,whightman.s@northeastern.edu,5487,Special Topics in Artificial Intelligence,1395,Carney,Huccaby,huccaby.c@northeastern.edu
58107,589241878,Cozmo,Bennett,bennett.c@northeastern.edu,6130,Natural Language Processing,1542,Berty,Colbridge,colbridge.b@northeastern.edu
23866,602259578,Karylin,Heaslip,heaslip.k@northeastern.edu,5837,Machine Learning,1069,Brietta,Drinkwater,drinkwater.b@northeastern.edu
77521,665787951,Sigismundo,Carlesso,carlesso.s@northeastern.edu,5945,Intensive Foundations of Computer Science,1110,Shaun,Risson,risson.s@northeastern.edu
